Ten phim,Nam san xuat,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
Your Lucky Day,2023,86.0,positive,60.0,positive,10/11/2023,14/11/2023,R (Some Sexual Material|Language Throughout|Graphic Nudity|Strong Violence),English,1h 29m
Ant-Man and The Wasp: Quantumania,2023,46.0,negative,82.0,positive,17/02/2023,18/04/2023,PG-13 (Violence/Action|Language),English,2h 4m
We Have a Ghost,2023,42.0,negative,61.0,positive,17/02/2023,24/02/2023,PG-13 (Violence|Sexual/Suggestive References|Language),English,2h 6m
Poor Things,2023,92.0,positive,79.0,positive,08/12/2023,27/02/2024,R (Gore|Disturbing Material|Graphic Nudity|Language|Strong Sexual Content),English,2h 21m
Wish,2023,48.0,negative,81.0,positive,22/11/2023,23/01/2024,PG (Thematic Elements|Mild Action),English,1h 32m
Flora and Son,2023,93.0,positive,84.0,positive,22/09/2023,29/09/2023,R (Brief Drug Use|Sexual References|Language Throughout),English,1h 34m
Mob Land,2023,50.0,negative,77.0,positive,06/05/2023,25/08/2023,R,English,1h 52m
Polite Society,2023,91.0,positive,84.0,positive,28/04/2023,16/05/2023,PG-13 (Some Partial Nudity|Sexual Material|Strong Language|Violence),English,1h 43m
Air,2023,93.0,positive,98.0,positive,05/04/2023,12/05/2023,R (Language),English,1h 52m
The Last Voyage of the Demeter,2023,49.0,negative,75.0,positive,11/08/2023,29/08/2023,R (Bloody Violence),English,1h 58m
The Tank,2023,33.0,negative,26.0,negative,21/04/2023,25/04/2023,R (Brief Language|Some Violence/Bloody Images),English,1h 40m
Palm Trees and Power Lines,2023,91.0,positive,78.0,positive,03/03/2023,03/03/2023,R,English,1h 50m
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,2023,42.0,negative,96.0,positive,28/04/2023,16/05/2023,PG-13 (Some Sports Violence),English,2h 9m
The Pigeon Tunnel,2023,96.0,positive,70.0,positive,20/10/2023,20/10/2023,PG-13 (Brief Language|Some Violence|Smoking),English,1h 34m
Sharknado,2023,77.0,positive,34.0,negative,15/08/2023,11/10/2016,TV-14 (V|L),English,1h 26m
PAW Patrol: The Mighty Movie,2023,72.0,positive,64.0,positive,29/09/2023,31/10/2023,PG (Mild Action/Peril),English,1h 32m
Old Dads,2023,25.0,negative,85.0,positive,13/10/2023,20/10/2023,R (Pervasive Language|Nudity|Brief Drug Use|Sexual Material),English,1h 42m
A Thousand and One,2023,97.0,positive,85.0,positive,31/03/2023,18/04/2023,R (Language),English,1h 57m
Your Place or Mine,2023,30.0,negative,35.0,negative,10/02/2023,10/02/2023,PG-13 (Brief Strong Language|Suggestive Material),English,1h 49m
The Little Mermaid,2023,67.0,positive,64.0,positive,26/05/2023,25/07/2023,PG (Some Scary Images|Action/Peril),English,2h 15m
Wildflower,2023,63.0,positive,93.0,positive,17/03/2023,21/03/2023,R (A Sexual Reference|Teen Drinking|Some Language),English,1h 45m
Fear,2023,21.0,negative,37.0,negative,27/01/2023,28/03/2023,R (Bloody Violence and Language),English,1h 25m
Flamin' Hot,2023,68.0,positive,87.0,positive,02/06/2023,09/06/2023,PG-13 (Some Strong Language|Brief Drug Material),English,2h 9m
Napoleon,2023,58.0,negative,59.0,negative,22/11/2023,09/01/2024,R (Sexual Content|Brief Language|Some Grisly Images|Strong Violence),English,2h 38m
M3GAN,2023,93.0,positive,78.0,positive,06/01/2023,24/01/2023,PG-13 (Some Strong Language|A Suggestive Reference|Terror|Violent Content),English,1h 42m
Stephen Curry: Underrated,2023,85.0,positive,86.0,positive,21/07/2023,21/07/2023,PG-13 (Brief Strong Language),English,1h 50m
Anatomy of a Fall,2023,96.0,positive,90.0,positive,13/10/2023,22/12/2023,R (Some Language|Sexual References|Violent Images),French,2h 30m
American Symphony,2023,94.0,positive,76.0,positive,24/11/2023,29/11/2023,PG-13 (Some Strong Language),English,1h 40m
Magic Mike's Last Dance,2023,47.0,negative,73.0,positive,10/02/2023,21/03/2023,R (Sexual Material and Language),English,1h 52m
The Holdovers,2023,97.0,positive,92.0,positive,10/11/2023,28/11/2023,R (Language|Brief Sexual Material|Some Drug Use),English,2h 13m
Seriously Red,2023,52.0,negative,45.0,negative,10/02/2023,10/02/2023,R (Some Language|Sexual Content|Nudity),English,1h 44m
