Ma phim,Nam san xuat,Nguon xem phim,Ten phim,Diem phe binh,Cam xuc phe binh,Diem khan gia,Cam xuc cua khan gia,Ngay ra rap,Ngay phat song,Danh gia,Ngon ngu,Thoi luong phim
0ac1266f-1215-4026-a216-e5522149c4bb,2023,https://www.rottentomatoes.com/m/rebel_moon_part_1_a_child_of_fire,Rebel Moon: Part One - A Child of Fire,2.2,negative,5.7,negative,15/12/2023,21/12/2023,PG-13 (Language|Bloody Images|Sexual Material|Partial Nudity|Sequences of Strong Violence|Sexual Assault),English,2h 13m
0b0585a0-d887-33ff-baba-0c39ef39a38c,2023,https://www.rottentomatoes.com/m/anyone_but_you_2023,Anyone But You,5.2,negative,8.7,positive,22/12/2023,20/02/2024,R (Language Throughout|Brief Graphic Nudity|Sexual Content),English,1h 43m
0b844f90-90c7-3090-96b2-dfc570d18bcf,2023,https://www.rottentomatoes.com/m/meg_2_the_trench,Meg 2: The Trench,2.7,negative,7.3,positive,04/08/2023,25/08/2023,PG-13 (Brief Suggestive Material|Action/Violence|Language|Some Bloody Images),English,1h 56m
0be70066-7a79-48d5-b29c-d1c1bfede00b,2023,https://www.rottentomatoes.com/m/murder_mystery_2,Murder Mystery 2,4.5,negative,4.6,negative,24/03/2023,31/03/2023,PG-13 (Strong Language|Smoking|Bloody Images|Suggestive Material|Violence),English,1h 30m
0c35fa47-2bb3-4a9b-8851-2f0b8d000ccd,2023,https://www.rottentomatoes.com/m/aristotle_and_dante_discover_the_secrets_of_the_universe,Aristotle and Dante Discover the Secrets of the Universe,8.8,positive,9.5,positive,08/09/2023,14/11/2023,PG-13 (Thematic Elements|Some Strong Violence|Smoking|Sexual Material|Strong Language|Teen Drug/Alcohol Use),English,1h 36m
0d73fef0-a705-49af-92b7-5417c157dd6c,2023,https://www.rottentomatoes.com/m/monster_2023,Monster,9.7,positive,9.1,positive,22/11/2023,27/02/2024,PG-13 (Thematic Material|Brief Suggestive Material),Japanese,2h 6m
0e2e6fd6-36fe-4a01-a6b3-d0d0ef38c204,2023,https://www.rottentomatoes.com/m/still_a_michael_j_fox_movie,Still: A Michael J. Fox Movie,9.9,positive,9.5,positive,12/05/2023,12/05/2023,R (Language),English,1h 35m
0f1fe851-a366-4ef6-a42d-b7c5f0e665d5,2023,https://www.rottentomatoes.com/m/she_came_to_me,She Came to Me,4.8,negative,7.4,positive,06/10/2023,10/11/2023,R (Some Language),English,1h 42m
0fa059cd-a3ec-421f-92fb-6b96c23347c9,2023,https://www.rottentomatoes.com/m/infinity_pool_2023,Infinity Pool,8.7,positive,5.2,negative,27/01/2023,14/02/2023,R,English,1h 57m
0fa7b861-871a-405c-bbe7-cc4131097e61,2023,https://www.rottentomatoes.com/m/eileen,Eileen,8.2,positive,5.3,negative,08/12/2023,02/01/2024,R (Violent Content|Sexual Content|Language),English,1h 36m
10b522a5-873e-3e15-bd8b-65a079ab0b09,2023,https://www.rottentomatoes.com/m/the_marvels,The Marvels,6.2,positive,8.2,positive,10/11/2023,16/01/2024,PG-13 (Brief Language|Action/Violence),English,1h 45m
12f374d2-ac01-3113-a465-d116deae8313,2023,https://www.rottentomatoes.com/m/the_league,The League,9.6,positive,7.9,positive,07/07/2023,14/07/2023,PG (Some Violent Images|A Racial Slur|Smoking|Racism|Thematic Content),English,1h 43m
132d6f06-45c4-4730-b0e9-a620e464eee9,2023,https://www.rottentomatoes.com/m/maestro_2023,Maestro,7.8,positive,5.7,negative,22/11/2023,20/12/2023,R (Some Language and Drug Use),English,2h 9m
13881ac0-7e95-3889-bb57-8d3efc43dc1d,2023,https://www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one,Mission: Impossible - Dead Reckoning Part One,9.6,positive,9.4,positive,12/07/2023,10/10/2023,PG-13 (Intense Sequences of Violence|Action|Some Language|Suggestive Material),English,2h 43m
141856dd-f65e-4481-8331-6a24e6852a8e,2023,https://www.rottentomatoes.com/m/foe_2023,Foe,2.5,negative,5.6,negative,06/10/2023,07/11/2023,R (Language|Some Sexual Content|Nudity),English,1h 50m
14e87cf5-9d15-3f57-9307-e449ed3f2f33,2023,https://www.rottentomatoes.com/m/good_grief_2023,Good Grief,7.6,positive,7.0,positive,29/12/2023,05/01/2024,R (Language|Brief Drug Use),English,1h 40m
15267f83-191e-3f0a-94c2-57674708553f,2023,https://www.rottentomatoes.com/m/scream_vi,Scream VI,7.6,positive,9.1,positive,10/03/2023,25/04/2023,R (Language Throughout|Brief Drug Use|Strong Bloody Violence),English,2h 3m
152da77b-87a1-4c82-8274-1a2137153de6,2023,https://www.rottentomatoes.com/m/kokomo_city,KOKOMO CITY,9.9,positive,7.0,positive,28/07/2023,14/11/2023,R (Language Throughout|Graphic Nudity|Drug Use|Strong Sexual Content),English,1h 13m
15735db5-6100-3e9a-93bb-ffd052c723c7,2023,https://www.rottentomatoes.com/m/the_iron_claw_2023,The Iron Claw,8.9,positive,9.4,positive,22/12/2023,13/02/2024,R (Language|Drug Use|Some Sexuality|Suicide),English,2h 12m
15ca6a61-d65e-3c88-a2e5-66b90fa2b9c2,2023,https://www.rottentomatoes.com/m/expend4bles,Expend4bles,1.3,negative,7.0,positive,22/09/2023,13/10/2023,R (Sexual Material|Language|Strong/Bloody Violence),English,1h 43m
161a004e-bb99-36f4-a271-a448dfe18da5,2023,https://www.rottentomatoes.com/m/warhorse_one,Warhorse One,2.0,negative,7.1,positive,30/06/2023,04/07/2023,R,English,2h 6m
1680796c-a2c8-3900-a0c8-181d1b638e13,2023,https://www.rottentomatoes.com/m/sheroes_2022,Sheroes,4.0,negative,4.7,negative,23/06/2023,23/06/2023,R (Pervasive Language|Nudity|Drug Use|Sexual Content|Some Violence),English,1h 31m
19a5a392-884b-4664-9f80-53b36b80e2f2,2023,https://www.rottentomatoes.com/m/leo_2023,Leo,8.2,positive,9.0,positive,17/11/2023,21/11/2023,PG (Rude/Suggestive Material|Some Language),English,1h 46m
1b8a069e-65f2-407d-9f99-62468061b9d1,2023,https://www.rottentomatoes.com/m/prisoners_daughter,Prisoner's Daughter,4.3,negative,7.9,positive,30/06/2023,18/07/2023,R (Language and Some Violence),English,1h 38m
1d3f9e32-5e86-4e58-83a6-1a69b746aeb9,2023,https://www.rottentomatoes.com/m/pain_hustlers,Pain Hustlers,2.3,negative,6.4,positive,20/10/2023,27/10/2023,R (Nudity|Language Throughout|Drug Use|Some Sexual Content),English,2h 2m
1de705c6-cbf7-3864-a554-32b987e39188,2023,https://www.rottentomatoes.com/m/cypher_2023,Cypher,8.7,positive,8.0,positive,24/11/2023,24/11/2023,R (Language),English,1h 21m
1f39ee28-22c8-30cd-82e7-d0245b4b2c57,2023,https://www.rottentomatoes.com/m/renfield,Renfield,5.8,negative,7.9,positive,14/04/2023,02/05/2023,R (Language Throughout|Bloody Violence|Some Drug Use|Some Gore),English,1h 33m
208ade17-d670-3403-a374-bd1bd1ad9d8a,2023,https://www.rottentomatoes.com/m/chupa_2023,Chupa,6.8,positive,5.7,negative,07/04/2023,07/04/2023,PG (Peril|Thematic Elements|Some Action),English,1h 35m
215ecd50-b801-3e43-914c-6add4697a3da,2023,https://www.rottentomatoes.com/m/after_death,After Death,5.0,negative,8.7,positive,27/10/2023,11/03/2024,PG-13 (Violent Descriptions|Drug References|Thematic Material|Some Bloody Images),English,1h 48m
22dec941-0149-4074-94ac-d3dc4f291e44,2023,https://www.rottentomatoes.com/m/priscilla,Priscilla,8.4,positive,6.3,positive,03/11/2023,15/12/2023,R (Drug Use and Some Language),English,1h 53m
245f92fa-9a78-3200-9637-e2ebff5016af,2023,https://www.rottentomatoes.com/m/mafia_mamma,Mafia Mamma,2.1,negative,6.7,positive,14/04/2023,02/05/2023,R (Language|Bloody Violence|Sexual Content),English,1h 41m
25ad8783-00db-3060-9a99-c7b8f94d8fb5,2023,https://www.rottentomatoes.com/m/wonka,Wonka,8.2,positive,9.1,positive,15/12/2023,30/01/2024,PG (Some Violence|Mild Language|Thematic Elements),English,1h 56m
27539355-4940-4c29-aaab-d3fe4dafa4ee,2023,https://www.rottentomatoes.com/m/spider_man_across_the_spider_verse,Spider-Man: Across the Spider-Verse,9.5,positive,9.4,positive,02/06/2023,08/08/2023,PG (Some Language|Animated Action Violence|Thematic Elements),English,2h 20m
280fc921-c63a-338b-bed5-136e92aa72f8,2023,https://www.rottentomatoes.com/m/five_nights_at_freddys,Five Nights at Freddy's,3.2,negative,8.7,positive,27/10/2023,27/10/2023,PG-13 (Language|Bloody Images|Strong Violent Content),English,1h 50m
282676a0-b6c5-35ff-b17f-628faf4683ee,2023,https://www.rottentomatoes.com/m/vindicta,Vindicta,1.4,negative,3.1,negative,06/10/2023,16/10/2023,R (Brief Drug Material|Violence and Gore|Language),English,1h 23m
2c60cd0c-73e0-3824-9f62-30c2785c4263,2023,https://www.rottentomatoes.com/m/bottoms,Bottoms,9.0,positive,8.9,positive,01/09/2023,22/09/2023,R (Some Violence|Pervasive Language|Crude Sexual Content),English,1h 28m
2d7b63a1-8924-4401-9056-0fb009b0f2a0,2023,https://www.rottentomatoes.com/m/victim_suspect,Victim/Suspect,7.9,positive,7.5,positive,23/05/2023,23/05/2023,R (Some Language),English,1h 30m
2da44bd6-2a22-3238-a139-a40ab1769550,2023,https://www.rottentomatoes.com/m/teenage_mutant_ninja_turtles_mutant_mayhem,Teenage Mutant Ninja Turtles: Mutant Mayhem,9.5,positive,9.0,positive,02/08/2023,01/09/2023,PG (Language|Impolite Material|Sequences of Violence & Action),English,1h 39m
2da57b86-71a0-35bd-b8f4-d0c0ed1f113c,2023,https://www.rottentomatoes.com/m/missing_2023,Missing,8.8,positive,9.0,positive,20/01/2023,07/03/2023,PG-13 (Some Strong Violence|Language|Teen Drinking|Thematic Material),English,1h 51m
2db4a5c5-36f3-3ec7-bbd6-b200a8bd5761,2023,https://www.rottentomatoes.com/m/sick_girl_2023,Sick Girl,3.8,negative,7.6,positive,20/10/2023,20/10/2023,R (Drug Use|Some Sexual References|Language Throughout),English,1h 39m
2f693681-6183-33dc-baa5-f6ffb89810ea,2023,https://www.rottentomatoes.com/m/manodrome,Manodrome,4.9,negative,2.8,negative,10/11/2023,17/11/2023,R,English (United Kingdom),1h 36m
2f95ceec-ac42-48b0-9997-92ed672475ee,2023,https://www.rottentomatoes.com/m/talk_to_me_2023,Talk to Me,9.4,positive,8.2,positive,28/07/2023,12/09/2023,R (Some Sexual Material|Language Throughout|Strong/Bloody Violent Content),English,1h 35m
