Nam san xuat,Nguon xem phim,Ten phim,Diem phe binh,Ngay ra rap,The loai,Ngon ngu,Thoi luong phim
2023,https://www.rottentomatoes.com/m/rare_objects,Rare Objects,4.0,14/04/2023,R (Language and Some Drug Use),English,2h 3m
2023,https://www.rottentomatoes.com/m/reptile_2023,Reptile,4.5,22/09/2023,R (Violence|Some Nude Images|Language),English,2h 14m
2023,https://www.rottentomatoes.com/m/the_deepest_breath,The Deepest Breath,8.5,14/07/2023,PG (Language|Unsettling Images|Some Intense Peril),English,1h 48m
2023,https://www.rottentomatoes.com/m/transfusion_2022,Transfusion,5.7,03/03/2023,R (Teen Drinking and Drug Use|Language Throughout|Violence),English,1h 45m
2023,https://www.rottentomatoes.com/m/cocaine_bear,Cocaine Bear,6.6,24/02/2023,R (Drug Content|Bloody Violence and Gore|Language Throughout),English,1h 35m
2023,https://www.rottentomatoes.com/m/are_you_there_god_its_me_margaret,"Are You There God? It's Me, Margaret.",9.9,28/04/2023,PG-13 (Some Suggestive Material|Sexual Education|Thematic Material),English,1h 45m
2023,https://www.rottentomatoes.com/m/detective_knight_independence,Detective Knight: Independence,6.7,20/01/2023,R (Sexuality|Language Throughout|Brief Drug Use|Violence),English,1h 31m
2023,https://www.rottentomatoes.com/m/your_lucky_day,Your Lucky Day,8.6,10/11/2023,R (Some Sexual Material|Language Throughout|Graphic Nudity|Strong Violence),English,1h 29m
2023,https://www.rottentomatoes.com/m/ant_man_and_the_wasp_quantumania,Ant-Man and The Wasp: Quantumania,4.6,17/02/2023,PG-13 (Violence/Action|Language),English,2h 4m
2023,https://www.rottentomatoes.com/m/we_have_a_ghost,We Have a Ghost,4.2,17/02/2023,PG-13 (Violence|Sexual/Suggestive References|Language),English,2h 6m
2023,https://www.rottentomatoes.com/m/poor_things,Poor Things,9.2,08/12/2023,R (Gore|Disturbing Material|Graphic Nudity|Language|Strong Sexual Content),English,2h 21m
2023,https://www.rottentomatoes.com/m/wish_2023,Wish,4.8,22/11/2023,PG (Thematic Elements|Mild Action),English,1h 32m
2023,https://www.rottentomatoes.com/m/flora_and_son,Flora and Son,9.3,22/09/2023,R (Brief Drug Use|Sexual References|Language Throughout),English,1h 34m
2023,https://www.rottentomatoes.com/m/mob_land,Mob Land,5.0,04/08/2023,R,English,1h 52m
2023,https://www.rottentomatoes.com/m/polite_society,Polite Society,9.1,28/04/2023,PG-13 (Some Partial Nudity|Sexual Material|Strong Language|Violence),English,1h 43m
2023,https://www.rottentomatoes.com/m/air_2023,Air,9.3,05/04/2023,R (Language),English,1h 52m
2023,https://www.rottentomatoes.com/m/the_last_voyage_of_the_demeter,The Last Voyage of the Demeter,4.9,11/08/2023,R (Bloody Violence),English,1h 58m
2023,https://www.rottentomatoes.com/m/the_tank_2023,The Tank,3.3,21/04/2023,R (Brief Language|Some Violence/Bloody Images),English,1h 40m
2023,https://www.rottentomatoes.com/m/palm_trees_and_power_lines,Palm Trees and Power Lines,9.1,03/03/2023,R,English,1h 50m
2023,https://www.rottentomatoes.com/m/big_george_foreman_the_miraculous_story_of_the_once_and_future_heavyweight_champion_of_the_world,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,4.2,28/04/2023,PG-13 (Some Sports Violence),English,2h 9m
2023,https://www.rottentomatoes.com/m/the_pigeon_tunnel,The Pigeon Tunnel,9.6,20/10/2023,PG-13 (Brief Language|Some Violence|Smoking),English,1h 34m
2023,https://www.rottentomatoes.com/m/sharknado,Sharknado,7.7,15/08/2023,TV-14 (V|L),English,1h 26m
2023,https://www.rottentomatoes.com/m/my_animal,My Animal,7.2,08/09/2023,R (Sexual Content|Nudity|Language Throughout|Some Drug Use|Violence),English,1h 43m
2023,https://www.rottentomatoes.com/m/paw_patrol_the_mighty_movie,PAW Patrol: The Mighty Movie,7.2,29/09/2023,PG (Mild Action/Peril),English,1h 32m
2023,https://www.rottentomatoes.com/m/old_dads,Old Dads,2.5,13/10/2023,R (Pervasive Language|Nudity|Brief Drug Use|Sexual Material),English,1h 42m
2023,https://www.rottentomatoes.com/m/a_thousand_and_one,A Thousand and One,9.7,31/03/2023,R (Language),English,1h 57m
2023,https://www.rottentomatoes.com/m/your_place_or_mine_2023,Your Place or Mine,3.0,10/02/2023,PG-13 (Brief Strong Language|Suggestive Material),English,1h 49m
2023,https://www.rottentomatoes.com/m/the_little_mermaid_2023,The Little Mermaid,6.7,26/05/2023,PG (Some Scary Images|Action/Peril),English,2h 15m
2023,https://www.rottentomatoes.com/m/wildflower,Wildflower,6.3,17/03/2023,R (A Sexual Reference|Teen Drinking|Some Language),English,1h 45m
2023,https://www.rottentomatoes.com/m/fear_2023,Fear,2.1,27/01/2023,R (Bloody Violence and Language),English,1h 25m
2023,https://www.rottentomatoes.com/m/flamin_hot,Flamin' Hot,6.8,02/06/2023,PG-13 (Some Strong Language|Brief Drug Material),English,2h 9m
2023,https://www.rottentomatoes.com/m/napoleon_2023,Napoleon,5.8,22/11/2023,R (Sexual Content|Brief Language|Some Grisly Images|Strong Violence),English,2h 38m
2023,https://www.rottentomatoes.com/m/m3gan,M3GAN,9.3,06/01/2023,PG-13 (Some Strong Language|A Suggestive Reference|Terror|Violent Content),English,1h 42m
2023,https://www.rottentomatoes.com/m/stephen_curry_underrated,Stephen Curry: Underrated,8.5,21/07/2023,PG-13 (Brief Strong Language),English,1h 50m
2023,https://www.rottentomatoes.com/m/a_little_white_lie_2023,A Little White Lie,3.4,03/03/2023,R (Language),English,1h 40m
2023,https://www.rottentomatoes.com/m/boudica_queen_of_war,Boudica: Queen of War,4.0,27/10/2023,R (Strong Bloody Violence|Some Language),English (United Kingdom),1h 40m
2023,https://www.rottentomatoes.com/m/anatomy_of_a_fall,Anatomy of a Fall,9.6,13/10/2023,R (Some Language|Sexual References|Violent Images),French,2h 30m
2023,https://www.rottentomatoes.com/m/american_symphony,American Symphony,9.4,24/11/2023,PG-13 (Some Strong Language),English,1h 40m
