movieId,movieYear,movieURL,movieTitle,critic_score,critic_sentiment,audience_score,audience_sentiment,release_date_theaters,release_date_streaming,rating,original_language,runtime
08e0a443-e757-49ea-873f-fe640430f234,2023,https://www.rottentomatoes.com/m/when_evil_lurks,When Evil Lurks,97,positive,78,positive,"Oct 6, 2023, Wide",27-Oct-23,,Spanish,1h 39m
09078565-70d4-32d8-beb3-585a16f1d525,2023,https://www.rottentomatoes.com/m/river_wild_2023,River Wild,77,positive,38,negative,,1-Aug-23,PG-13 (Strong Language|Some Bloody Images|Brief Suggestive Material|Violence),English,1h 31m
09138a36-de2b-4973-a06b-7aab221ca6a1,2023,https://www.rottentomatoes.com/m/attachment,Attachment,95,positive,62,positive,,9-Feb-23,,Danish,1h 45m
091d9081-af9e-3694-b70d-0252a09b986f,2023,https://www.rottentomatoes.com/m/sister_death,Sister Death,82,positive,68,positive,,27-Oct-23,,Spanish (Spain),1h 29m
0a0664c5-3c65-439e-8b0c-94bf52a92736,2023,https://www.rottentomatoes.com/m/birth_rebirth,birth/rebirth,96,positive,74,positive,"Aug 18, 2023, Limited",10-Nov-23,R (Language|Gore|Disturbing Material|Nudity|Some Sexual Content),English,1h 38m
0a09f08b-af99-32ca-9dab-5397d813f886,2023,https://www.rottentomatoes.com/m/silver_and_the_book_of_dreams,Silver and the Book of Dreams,,,42,negative,,8-Dec-23,,,1h 32m
0a7d477e-4875-48f5-85a6-80432ce80b7b,2023,https://www.rottentomatoes.com/m/about_my_father_2023,About My Father,37,negative,81,positive,"May 26, 2023, Wide",16-Jun-23,PG-13 (Partial Nudity|Language|Suggestive Material),English,1h 29m
0ac1266f-1215-4026-a216-e5522149c4bb,2023,https://www.rottentomatoes.com/m/rebel_moon_part_1_a_child_of_fire,Rebel Moon: Part One - A Child of Fire,22,negative,57,negative,"Dec 15, 2023, Limited",21-Dec-23,PG-13 (Language|Bloody Images|Sexual Material|Partial Nudity|Sequences of Strong Violence|Sexual Assault),English,2h 13m
0b0585a0-d887-33ff-baba-0c39ef39a38c,2023,https://www.rottentomatoes.com/m/anyone_but_you_2023,Anyone But You,52,negative,87,positive,"Dec 22, 2023, Wide",20-Feb-24,R (Language Throughout|Brief Graphic Nudity|Sexual Content),English,1h 43m
0b844f90-90c7-3090-96b2-dfc570d18bcf,2023,https://www.rottentomatoes.com/m/meg_2_the_trench,Meg 2: The Trench,27,negative,73,positive,"Aug 4, 2023, Wide",25-Aug-23,PG-13 (Brief Suggestive Material|Action/Violence|Language|Some Bloody Images),English,1h 56m
0be70066-7a79-48d5-b29c-d1c1bfede00b,2023,https://www.rottentomatoes.com/m/murder_mystery_2,Murder Mystery 2,45,negative,46,negative,"Mar 24, 2023, Limited",31-Mar-23,PG-13 (Strong Language|Smoking|Bloody Images|Suggestive Material|Violence),English,1h 30m
0be70a8d-3699-35eb-bf6e-e6eabd9190d5,2023,https://www.rottentomatoes.com/m/shotgun_wedding_2022,Shotgun Wedding,44,negative,51,negative,,27-Jan-23,R (Language|Some Violence/Bloody Images),English,1h 40m
0c35fa47-2bb3-4a9b-8851-2f0b8d000ccd,2023,https://www.rottentomatoes.com/m/aristotle_and_dante_discover_the_secrets_of_the_universe,Aristotle and Dante Discover the Secrets of the Universe,88,positive,95,positive,"Sep 8, 2023, Limited",14-Nov-23,PG-13 (Thematic Elements|Some Strong Violence|Smoking|Sexual Material|Strong Language|Teen Drug/Alcohol Use),English,1h 36m
0d73fef0-a705-49af-92b7-5417c157dd6c,2023,https://www.rottentomatoes.com/m/monster_2023,Monster,97,positive,91,positive,"Nov 22, 2023, Limited",27-Feb-24,PG-13 (Thematic Material|Brief Suggestive Material),Japanese,2h 6m
0e2e6fd6-36fe-4a01-a6b3-d0d0ef38c204,2023,https://www.rottentomatoes.com/m/still_a_michael_j_fox_movie,Still: A Michael J. Fox Movie,99,positive,95,positive,"May 12, 2023, Limited",12-May-23,R (Language),English,1h 35m
0f1fe851-a366-4ef6-a42d-b7c5f0e665d5,2023,https://www.rottentomatoes.com/m/she_came_to_me,She Came to Me,48,negative,74,positive,"Oct 6, 2023, Limited",10-Nov-23,R (Some Language),English,1h 42m
0fa059cd-a3ec-421f-92fb-6b96c23347c9,2023,https://www.rottentomatoes.com/m/infinity_pool_2023,Infinity Pool,87,positive,52,negative,"Jan 27, 2023, Wide",14-Feb-23,R,English,1h 57m
0fa7b861-871a-405c-bbe7-cc4131097e61,2023,https://www.rottentomatoes.com/m/eileen,Eileen,82,positive,53,negative,"Dec 8, 2023, Wide",2-Jan-24,R (Violent Content|Sexual Content|Language),English,1h 36m
10b522a5-873e-3e15-bd8b-65a079ab0b09,2023,https://www.rottentomatoes.com/m/the_marvels,The Marvels,62,positive,82,positive,"Nov 10, 2023, Wide",16-Jan-24,PG-13 (Brief Language|Action/Violence),English,1h 45m
119ec4b1-7055-38c9-8c19-2c3fb39799ff,2023,https://www.rottentomatoes.com/m/paradise_2023,Paradise,50,negative,60,positive,,27-Jul-23,,German,1h 57m
11db2114-c94a-351c-8d43-0f4e622ec8ac,2023,https://www.rottentomatoes.com/m/on_a_wing_and_a_prayer_2023,On a Wing and a Prayer,16,negative,57,negative,,7-Apr-23,PG (Thematic Elements|Peril|Suggestive References|Some Language),English,1h 42m
12f374d2-ac01-3113-a465-d116deae8313,2023,https://www.rottentomatoes.com/m/the_league,The League,96,positive,79,positive,"Jul 7, 2023, Limited",14-Jul-23,PG (Some Violent Images|A Racial Slur|Smoking|Racism|Thematic Content),English,1h 43m
132d6f06-45c4-4730-b0e9-a620e464eee9,2023,https://www.rottentomatoes.com/m/maestro_2023,Maestro,78,positive,57,negative,"Nov 22, 2023, Limited",20-Dec-23,R (Some Language and Drug Use),English,2h 9m
13881ac0-7e95-3889-bb57-8d3efc43dc1d,2023,https://www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one,Mission: Impossible - Dead Reckoning Part One,96,positive,94,positive,"Jul 12, 2023, Wide",10-Oct-23,PG-13 (Intense Sequences of Violence|Action|Some Language|Suggestive Material),English,2h 43m
13e4acdf-72eb-37c2-9082-1d53fd46a808,2023,https://www.rottentomatoes.com/m/burning_betrayal,Burning Betrayal,,,89,positive,,25-Oct-23,,Portuguese (Brazil),1h 38m
